,0,1,2,3,4,5,6,7,8,9
0,szse.002152,sse.601318,szse.000028,szse.000513,szse.002035,szse.000636,szse.000651,szse.002233,szse.002511,szse.002461
1,szse.002475,sse.600332,szse.000028,szse.002152,szse.002449,szse.300115,sse.600183,szse.300014,szse.002303,szse.002233
2,szse.002461,szse.002233,szse.002138,szse.002475,szse.000513,szse.300014,sse.600183,sse.600325,szse.002035,szse.002511
3,szse.002035,szse.002303,szse.000049,szse.001914,szse.000069,szse.000636,szse.000921,szse.300115,sse.600325,sse.600332
4,sse.600383,szse.002461,sse.600048,szse.000028,szse.000651,szse.000513,szse.002138,sse.600872,szse.002233,szse.002475
5,szse.002352,sse.601318,szse.000636,sse.600325,szse.002475,szse.002461,szse.002449,szse.002060,sse.600183,szse.000921
6,szse.002449,szse.000513,szse.002035,szse.000028,szse.002303,sse.600325,szse.000651,szse.000921,szse.002027,szse.002138
7,szse.002060,sse.600323,sse.601318,sse.600383,szse.000028,szse.002511,sse.600048,szse.002152,szse.000069,szse.000921
8,szse.002138,szse.002449,szse.002152,szse.300115,szse.002475,szse.002303,szse.002461,szse.002511,szse.002352,szse.000028
9,szse.002233,sse.600325,sse.601318,szse.002060,sse.600383,sse.600048,sse.600332,sse.600872,szse.002352,szse.000513
10,sse.601318,szse.300115,szse.002449,szse.000921,szse.300014,sse.600323,szse.000651,szse.002511,szse.002035,sse.600048
11,szse.002475,szse.002060,szse.002449,szse.000028,szse.002152,sse.600872,sse.600332,szse.300014,szse.002461,szse.002352
12,szse.002035,szse.002475,sse.600332,szse.002449,szse.002511,szse.300014,sse.600323,szse.000636,szse.002152,szse.002060
13,szse.300115,szse.000513,sse.600183,sse.600872,szse.002461,szse.000069,szse.000028,szse.002152,sse.600323,szse.002475
14,szse.002138,sse.600325,szse.001914,szse.002352,szse.000513,szse.002449,szse.002303,szse.000651,szse.000636,szse.000049
15,szse.000636,sse.601318,szse.002449,szse.000049,sse.600323,szse.002352,sse.600872,sse.600325,sse.600383,szse.002152
16,szse.002138,szse.002511,szse.002461,sse.600872,sse.600332,szse.002449,szse.002152,szse.002035,szse.002027,szse.000921
17,szse.000636,szse.002449,szse.000513,szse.002352,sse.601318,sse.600183,sse.600323,szse.000921,szse.000651,szse.000069
18,sse.600332,szse.002303,szse.000513,szse.300115,szse.000049,sse.600323,szse.002461,szse.002138,sse.601318,sse.600183
19,szse.300115,szse.002449,szse.002233,sse.600325,szse.002511,szse.000921,szse.001914,szse.000028,szse.300014,szse.000069
20,szse.002035,szse.000513,sse.600332,szse.000636,szse.002461,sse.600872,szse.000921,szse.002138,szse.002475,szse.002233
21,sse.600048,sse.600383,szse.002303,sse.600183,sse.600323,szse.002352,sse.600325,szse.002027,sse.601318,szse.002461
22,szse.000028,szse.002233,szse.002060,szse.000513,szse.000049,szse.300014,szse.002449,szse.002511,sse.600183,sse.600872
23,szse.002461,szse.000028,szse.002475,sse.601318,sse.600332,szse.002352,sse.600323,szse.002027,szse.000921,szse.000636
24,szse.000636,szse.000028,szse.002138,szse.002027,szse.002511,szse.000921,szse.300115,szse.000049,sse.600183,szse.000069
25,szse.002449,szse.000651,sse.601318,szse.002511,sse.600183,sse.600323,szse.000636,szse.000513,sse.600872,szse.002352
26,sse.600325,szse.000651,sse.601318,szse.000049,sse.600048,szse.000921,szse.000513,szse.002060,szse.000636,szse.001914
27,sse.600383,szse.000069,sse.600325,sse.600048,sse.601318,sse.600183,szse.001914,szse.002138,szse.002449,szse.002027
28,szse.002060,szse.000513,szse.000636,szse.002152,szse.002449,szse.300014,sse.600872,szse.002138,sse.601318,szse.002511
29,szse.002233,sse.600323,szse.001914,szse.002449,sse.600872,szse.002461,szse.002138,szse.002027,sse.600383,szse.000636
30,szse.000921,szse.002475,szse.002352,szse.002303,szse.002511,sse.601318,szse.002138,sse.600323,szse.000651,sse.600325
31,szse.002060,szse.002138,sse.600323,sse.600872,szse.000921,szse.300014,szse.002449,szse.000636,szse.000049,sse.601318
32,szse.002233,szse.002461,szse.002475,sse.600325,szse.002138,szse.000651,szse.000069,szse.002035,sse.600332,szse.000028
33,sse.600323,szse.000028,szse.300115,szse.001914,szse.002138,sse.600383,szse.000049,szse.002475,szse.002461,sse.600332
34,szse.002035,szse.300014,szse.002449,szse.002060,szse.000636,sse.600323,sse.600048,sse.600872,szse.002461,szse.000028
35,szse.002352,szse.002233,szse.002152,szse.000651,szse.002461,szse.000028,szse.001914,sse.601318,szse.002511,szse.002303
36,szse.002352,sse.600325,szse.001914,sse.600872,szse.000028,szse.000049,szse.002303,szse.002475,szse.002035,szse.000513
37,sse.600048,sse.600383,sse.600325,szse.002461,szse.002152,szse.002027,szse.000069,szse.002303,sse.600332,szse.002511
38,szse.000921,sse.601318,szse.002233,szse.000513,szse.002475,szse.000636,sse.600332,szse.300014,szse.000069,szse.002060
39,szse.000921,sse.601318,szse.002233,szse.000513,szse.002475,szse.000636,sse.600332,szse.300014,szse.000069,szse.002060
40,szse.002303,szse.000049,sse.600325,szse.000651,szse.002138,sse.600332,szse.000921,szse.002152,szse.000513,szse.002461
41,szse.002035,szse.002233,szse.002449,szse.002138,szse.002152,sse.600332,szse.002475,szse.002027,szse.001914,szse.000636
42,szse.002152,szse.002352,szse.002138,szse.002303,szse.000921,sse.600183,szse.300115,szse.002035,szse.002511,szse.002027
43,szse.002352,szse.002152,sse.600325,sse.600048,sse.600383,szse.000651,szse.000069,szse.000921,szse.002233,sse.600323
44,szse.000049,sse.600383,szse.002233,szse.000921,szse.002303,szse.000651,sse.600325,szse.000069,sse.601318,sse.600872
45,szse.002449,szse.300115,szse.000636,szse.002035,szse.002233,sse.600183,sse.601318,sse.600048,szse.000513,szse.002511
46,szse.000921,szse.002475,sse.600323,szse.002449,szse.002233,szse.002352,szse.000651,sse.600872,sse.600325,szse.002152
47,szse.002027,szse.002152,szse.300014,szse.300115,szse.002138,szse.002060,szse.000921,szse.002449,szse.002035,sse.600183
48,szse.002035,szse.002461,szse.002303,szse.000651,szse.000028,szse.002233,szse.000636,sse.600183,szse.002060,sse.600872
49,sse.600872,szse.000513,szse.002461,szse.000636,szse.002035,szse.001914,szse.002152,szse.002233,szse.000921,szse.002060
50,szse.002035,szse.002511,szse.002303,sse.600872,sse.600323,sse.601318,szse.000049,szse.000028,szse.300014,szse.002461
51,sse.600323,szse.002461,szse.002035,szse.300014,szse.002060,szse.002449,szse.000049,szse.000028,szse.002027,szse.002138
52,szse.002152,szse.002475,szse.002303,szse.000028,szse.000049,szse.002352,szse.002511,szse.002449,sse.600323,szse.300014
53,szse.002035,szse.002138,szse.002152,szse.300115,szse.000651,szse.000028,szse.002449,szse.000069,szse.002475,sse.600183
54,szse.300115,szse.002138,szse.002152,szse.002511,szse.002352,szse.002035,szse.002461,sse.600323,szse.002475,szse.000651
55,szse.300115,szse.002138,szse.002152,szse.002511,szse.002352,szse.002035,szse.002461,sse.600323,szse.002475,szse.000651
56,szse.002303,szse.002233,sse.600325,sse.600048,sse.600383,sse.600872,szse.000069,szse.000651,szse.002060,szse.002449
57,szse.000069,sse.601318,szse.002352,szse.000513,sse.600323,szse.002060,szse.000636,szse.000921,szse.000049,szse.300014
58,szse.300115,szse.000651,sse.600183,szse.002511,sse.601318,szse.000069,sse.600383,szse.002152,szse.000513,szse.002475
59,szse.002060,sse.600183,szse.300115,szse.002027,szse.002152,szse.000921,szse.002352,szse.000028,sse.600323,szse.000049
60,szse.002352,sse.600183,sse.601318,szse.002511,szse.000028,szse.002461,szse.000513,szse.002303,szse.300014,szse.002233
61,sse.601318,szse.000028,szse.002152,sse.600325,szse.002233,szse.000069,szse.000513,szse.002303,sse.600048,szse.000651
62,sse.600383,szse.002233,sse.600325,sse.600048,szse.000069,szse.002060,szse.000921,szse.000651,szse.002138,szse.002035
63,szse.000028,szse.002303,szse.000636,szse.002035,sse.600872,szse.000513,szse.300115,szse.002352,szse.002511,szse.002152
64,szse.002461,szse.002060,szse.002352,szse.002303,szse.000028,szse.002027,szse.002035,szse.002233,szse.000921,szse.000513
65,szse.000049,szse.300115,szse.000028,sse.600048,szse.002511,szse.002138,sse.600383,szse.002303,szse.300014,szse.000513
66,szse.002475,sse.600332,szse.000049,szse.002138,szse.002511,szse.000069,szse.000636,szse.000921,sse.600183,sse.600383
67,szse.002233,szse.002511,szse.300014,szse.002449,szse.000636,szse.002303,szse.000651,szse.000921,szse.001914,szse.300115
68,szse.002035,szse.002475,szse.300115,szse.002027,szse.002449,szse.002352,sse.600325,szse.300014,szse.002138,szse.002511
69,szse.300115,szse.000651,szse.002233,sse.600183,sse.600872,szse.002475,szse.002461,szse.000636,szse.000069,szse.002303
70,sse.600325,szse.002027,szse.000069,szse.002233,szse.002138,sse.600383,szse.001914,sse.601318,szse.002461,szse.002060
71,szse.001914,szse.002152,sse.600183,szse.002303,sse.600872,szse.002060,sse.600323,szse.300115,szse.002352,szse.002233
72,szse.300115,szse.000921,szse.002035,szse.002027,szse.002449,szse.002511,szse.000636,szse.002475,sse.600323,szse.002152
73,sse.600332,sse.600872,szse.002511,sse.600323,sse.600048,szse.002461,szse.001914,szse.002152,sse.601318,sse.600183
74,sse.600183,sse.600872,szse.002352,szse.002233,szse.000921,szse.002060,szse.002138,szse.000636,szse.000651,szse.002449
75,szse.000049,szse.002461,sse.600332,sse.600183,szse.300115,szse.002027,szse.001914,szse.002138,szse.000513,szse.002152
76,szse.002461,szse.000636,sse.600325,szse.002449,szse.002511,sse.601318,sse.600048,szse.300014,szse.300115,szse.002027
77,szse.001914,sse.600323,szse.002449,szse.002060,szse.000636,szse.002233,szse.002035,szse.000921,sse.600325,szse.000651
78,szse.000636,szse.300014,sse.600872,szse.002233,szse.002152,szse.000921,szse.002060,szse.002027,szse.002449,szse.300115
79,szse.001914,szse.000636,sse.600325,szse.002060,sse.600183,szse.002449,szse.000921,szse.002152,szse.002035,szse.002303
80,sse.600383,sse.600048,szse.000069,sse.600183,sse.600332,szse.002449,szse.002060,szse.000636,szse.000651,szse.002352
81,szse.000049,szse.000069,szse.000513,sse.600332,szse.002138,sse.600872,szse.002461,sse.600048,sse.600323,szse.002060
82,szse.002461,szse.001914,sse.600383,sse.600048,szse.002060,szse.002233,szse.002303,sse.600183,sse.601318,sse.600325
83,szse.002138,szse.000651,szse.002152,sse.600323,sse.600325,szse.002027,sse.600872,szse.300014,szse.000069,szse.000921
84,szse.002449,sse.601318,szse.002138,szse.000049,szse.000028,szse.000513,sse.600872,szse.002035,sse.600325,szse.002461
85,sse.600048,sse.600383,szse.002152,szse.000069,szse.000651,sse.600325,szse.002233,szse.000636,sse.601318,szse.002303
86,szse.000636,sse.600332,sse.600872,szse.002303,szse.002233,szse.002449,szse.002461,szse.002027,szse.300014,sse.600323
87,sse.600323,szse.000921,szse.000513,szse.001914,szse.000636,szse.000049,szse.000651,szse.002449,szse.002475,sse.600325
88,sse.600383,szse.002475,szse.000049,szse.300115,sse.601318,szse.002233,szse.000513,szse.000069,szse.000651,szse.002352
89,sse.600332,szse.002449,szse.002060,szse.002152,szse.001914,szse.300014,sse.600872,szse.000069,sse.600183,szse.000636
90,szse.002511,szse.300014,sse.600872,szse.000636,szse.002475,szse.000049,szse.002352,szse.002138,sse.600323,sse.600332
91,szse.002511,szse.300014,sse.600872,szse.000636,szse.002475,szse.000049,szse.002352,szse.002138,sse.600323,sse.600332
92,sse.600048,sse.601318,szse.002511,szse.002449,szse.000069,szse.300014,szse.000651,szse.002233,szse.000028,szse.002352
93,szse.000921,szse.002138,szse.002152,szse.002475,szse.300014,szse.002461,sse.600872,szse.000651,sse.600323,sse.601318
94,sse.600332,szse.000049,szse.002152,szse.300115,szse.000513,szse.002233,szse.000028,sse.600183,sse.601318,szse.002475
95,szse.300115,sse.601318,szse.002511,szse.002352,szse.002461,szse.002449,szse.002152,sse.600872,szse.000636,szse.002035
96,szse.002138,szse.002475,sse.600332,szse.000049,szse.002449,szse.002511,szse.000636,szse.000028,szse.002060,szse.300115
97,szse.000921,szse.000636,szse.002461,szse.000028,szse.000049,sse.600183,szse.002303,szse.002035,szse.002475,szse.300014
98,sse.600332,szse.002233,szse.002475,szse.002060,szse.000513,szse.002449,szse.002152,szse.000636,szse.300115,szse.000651
99,szse.002461,szse.002449,szse.002138,szse.300014,szse.002060,szse.000636,sse.600872,sse.600183,szse.002303,szse.002027
100,szse.002461,szse.002352,szse.002475,sse.600332,szse.002303,szse.002060,szse.000513,szse.000651,sse.600183,szse.002449
101,szse.000049,szse.000636,sse.600872,szse.002152,szse.002027,sse.600323,szse.000069,szse.002060,szse.300115,szse.002035
102,szse.000049,szse.001914,sse.600048,szse.002303,sse.600325,szse.000069,szse.002511,sse.600332,sse.600383,sse.600323
103,sse.600183,szse.000651,szse.002449,sse.600332,szse.002303,szse.002511,szse.002352,sse.600323,szse.002233,szse.002035
104,szse.002138,szse.300115,szse.000513,szse.002475,szse.002035,szse.000636,sse.600872,sse.600332,szse.002027,szse.002461
105,szse.000513,szse.000069,sse.601318,sse.600048,szse.002511,sse.600872,szse.002461,sse.600323,sse.600325,szse.002233
106,szse.002449,szse.000513,szse.300115,szse.000069,szse.002475,szse.002027,szse.002233,szse.000921,szse.001914,sse.601318
107,szse.002138,sse.600048,szse.000069,szse.000513,szse.002352,szse.001914,szse.300115,szse.002060,szse.002475,sse.600325
108,szse.000513,szse.300115,szse.000028,szse.300014,szse.002475,szse.002138,szse.002303,szse.000921,szse.000069,szse.000049
109,szse.002449,szse.000921,sse.600323,sse.600048,szse.000028,szse.002511,szse.002027,sse.601318,sse.600325,szse.000636
110,szse.002449,szse.000921,sse.600323,sse.600048,szse.000028,szse.002511,szse.002027,sse.601318,sse.600325,szse.000636
111,sse.600383,sse.601318,szse.001914,szse.002233,szse.000921,szse.000069,szse.000651,sse.600325,sse.600048,szse.000028
112,szse.002511,szse.002449,sse.600325,sse.601318,szse.002352,szse.000028,sse.600183,szse.002233,szse.000069,szse.000636
113,szse.002035,szse.002449,sse.600325,szse.002233,sse.600323,sse.600332,szse.002152,szse.000028,szse.000651,sse.601318
114,szse.002449,szse.000921,szse.001914,sse.600048,szse.002027,sse.600872,szse.002035,sse.600383,szse.002138,sse.600323
115,szse.002352,szse.002449,szse.002475,szse.002027,szse.000513,szse.002060,szse.002233,szse.002461,szse.300115,szse.000651
116,sse.600323,szse.002303,szse.002233,szse.002475,szse.000028,szse.000069,szse.002027,szse.000636,szse.002060,szse.002511
117,szse.300115,szse.002138,szse.000921,sse.600332,szse.300014,szse.000513,szse.000049,szse.000636,szse.002511,szse.002027
118,szse.002152,szse.000651,szse.002475,szse.000028,sse.600183,szse.000636,szse.002060,szse.002027,szse.002511,szse.002449
119,sse.600183,szse.002449,szse.002461,szse.002475,szse.002152,szse.002060,szse.002027,sse.600325,sse.600323,szse.000028
120,szse.000636,szse.002233,szse.002475,sse.600048,sse.601318,sse.600383,szse.001914,szse.000069,szse.000651,szse.002352
121,szse.000921,sse.600183,sse.600872,szse.002352,szse.001914,szse.002233,szse.000028,szse.002511,szse.002027,szse.002461
122,szse.002035,szse.000921,szse.002152,szse.002233,sse.600183,szse.000028,sse.600325,szse.000069,sse.601318,szse.002511
123,szse.000651,sse.600332,szse.000513,sse.601318,sse.600323,szse.002233,szse.002027,szse.000921,szse.000028,szse.002461
124,szse.000028,szse.000069,sse.601318,sse.600048,szse.000513,szse.000921,szse.000049,szse.002138,sse.600325,szse.300014
125,szse.002449,szse.000049,szse.002475,sse.600183,szse.002233,szse.000636,szse.002461,szse.000651,sse.600872,szse.002138
126,sse.600332,szse.002303,szse.002352,sse.600383,szse.000636,szse.000651,sse.600323,szse.000513,sse.600048,sse.600183
127,szse.002035,szse.002233,szse.001914,szse.000921,sse.600048,szse.002027,sse.600383,sse.601318,sse.600325,szse.000636
128,szse.002461,szse.002233,szse.002152,szse.002035,szse.000069,szse.001914,sse.600183,sse.600325,szse.002511,szse.000513
129,szse.002511,szse.002461,szse.002027,szse.002233,szse.000069,szse.000636,sse.600325,szse.002060,sse.600048,sse.600183
130,szse.002035,sse.600323,szse.000069,sse.600325,szse.000513,szse.000651,szse.002233,sse.601318,szse.002060,szse.002511
131,szse.002449,szse.002475,szse.000049,szse.002138,szse.000028,szse.002511,sse.600325,szse.002060,sse.600332,szse.002152
132,szse.000921,sse.600383,szse.000651,szse.000069,szse.002352,szse.002233,sse.600872,szse.002511,sse.600048,sse.601318
133,szse.002138,szse.300014,szse.002060,szse.000028,szse.000921,sse.601318,sse.600048,sse.600872,szse.002449,szse.000049
134,szse.002138,sse.600332,szse.000513,sse.600183,szse.000651,sse.600383,sse.600325,szse.001914,sse.600048,szse.002233
135,szse.300014,szse.002449,sse.600383,szse.002152,sse.600048,szse.002303,szse.000049,szse.000069,sse.600872,sse.600325
136,szse.000513,sse.600872,sse.600332,szse.002138,sse.600183,szse.002449,sse.600323,szse.000049,szse.300115,szse.002352
137,szse.000069,sse.600383,szse.000651,szse.001914,sse.600048,szse.002303,szse.002233,szse.002060,sse.601318,sse.600332
138,szse.000513,szse.002475,sse.600332,szse.002035,szse.000049,szse.002352,szse.002449,sse.600048,szse.002152,szse.000028
139,szse.001914,szse.000651,szse.002233,sse.600325,sse.600332,sse.600048,szse.002060,sse.600383,szse.000069,sse.600183
140,szse.000049,szse.300115,szse.002035,szse.002138,szse.002475,sse.600332,sse.600872,szse.300014,szse.002461,szse.000028
141,sse.600383,szse.001914,sse.600048,szse.000049,szse.000636,szse.000069,szse.002511,szse.002138,sse.600325,szse.002352
142,szse.002233,sse.600048,szse.000921,szse.000069,szse.001914,sse.600325,sse.601318,szse.000636,szse.002461,szse.002449
143,szse.000651,sse.600332,sse.600048,sse.600383,szse.002475,sse.601318,szse.001914,szse.002233,szse.000513,szse.002449
144,szse.300115,szse.000049,szse.002152,szse.000028,szse.002475,szse.000513,szse.002461,szse.002138,szse.002511,szse.000651
145,szse.002027,szse.002152,sse.600325,szse.300014,szse.000069,sse.600048,sse.600183,szse.002511,szse.002035,sse.600383
146,szse.001914,sse.600872,szse.002060,szse.002511,szse.002152,szse.300115,szse.002027,szse.000636,szse.000513,szse.002233
147,szse.002303,szse.002027,szse.001914,szse.002449,szse.002475,szse.000069,szse.002060,szse.002511,szse.000513,szse.000636
148,sse.600332,szse.000028,szse.000513,sse.600872,szse.000069,sse.600048,szse.002027,szse.000651,szse.001914,sse.601318
149,szse.002027,szse.000069,szse.002303,sse.600325,sse.600048,szse.000513,szse.002060,szse.000049,sse.600183,szse.001914
150,szse.300115,sse.600332,szse.000069,szse.300014,sse.600048,szse.000921,szse.002475,szse.002352,sse.600183,szse.000028
151,szse.002461,szse.002027,sse.600325,szse.002060,sse.600383,szse.000069,szse.002233,szse.001914,szse.002303,szse.000651
152,szse.002461,szse.300014,sse.600183,szse.300115,szse.002475,szse.002027,szse.002138,szse.000028,szse.002511,szse.002060
153,szse.001914,szse.002303,sse.600048,szse.000069,sse.600183,sse.600872,szse.002511,szse.002461,szse.002233,sse.601318
154,szse.002352,szse.000651,sse.600332,szse.002035,szse.000921,sse.600048,sse.600872,szse.002461,szse.002152,sse.601318
155,sse.600332,szse.000636,szse.000513,szse.002027,szse.300014,szse.002461,szse.300115,szse.000069,sse.600048,szse.000921
156,szse.002035,szse.001914,szse.000921,szse.002233,szse.000651,szse.002461,sse.600183,szse.002511,szse.002352,szse.000636
157,szse.002511,szse.002233,szse.002352,szse.300115,szse.002138,sse.600048,szse.002035,szse.001914,szse.000049,sse.600325
158,sse.600325,szse.000651,szse.002233,szse.002060,sse.600383,szse.000069,sse.600332,szse.000636,szse.000921,szse.001914
159,sse.600872,szse.002475,szse.000049,sse.601318,szse.002303,szse.000513,sse.600332,szse.300115,szse.000028,szse.002060
160,szse.001914,szse.000651,szse.000049,sse.600048,szse.300115,szse.002475,szse.002449,sse.600383,szse.002352,sse.601318
161,szse.000513,szse.002461,sse.601318,sse.600325,szse.002475,sse.600332,szse.002352,szse.000069,sse.600383,szse.300014
162,sse.600872,szse.000921,sse.600383,szse.002138,szse.002027,sse.600048,szse.000069,sse.600323,szse.000636,szse.002303
163,szse.000049,szse.002475,szse.000028,szse.002152,szse.001914,szse.000651,sse.600325,sse.600323,szse.002352,sse.600048
164,szse.300115,szse.002027,szse.000921,sse.600323,szse.002352,sse.600325,sse.600048,szse.000069,szse.002303,szse.000651
165,sse.600872,szse.000049,szse.300014,szse.002475,szse.002152,szse.002449,szse.000028,szse.300115,szse.000636,sse.601318
166,szse.300014,szse.000921,szse.002035,szse.002060,szse.002152,szse.001914,sse.600332,szse.002511,szse.002352,szse.000069
167,szse.300014,szse.002152,szse.002449,szse.000028,sse.600872,sse.600323,szse.002027,szse.000651,szse.000049,szse.002475
168,szse.000028,szse.002352,szse.002138,szse.300014,sse.600323,szse.002035,szse.002027,szse.000049,szse.000921,sse.600183
169,szse.002060,sse.600325,szse.001914,szse.300014,sse.600332,szse.002303,szse.000921,sse.600872,szse.002511,szse.000651
170,szse.000049,szse.000028,szse.001914,szse.000069,szse.002475,szse.002461,szse.002060,szse.002352,szse.002511,sse.600183
